INPUT:image	OUTPUT:result	CONFIDENCE:result	
labelled/12.png	other	100.00%	
labelled/14.png	no	100.00%	
labelled/189.png	yes	100.00%	
labelled/33.png	other	100.00%	
labelled/40.png	other	100.00%	
labelled/13.png	no	100.00%	
labelled/1.png	other	100.00%	
labelled/17.png	no	100.00%	
labelled/114.png	other	100.00%	
labelled/34.png	yes	100.00%	
labelled/198.png	yes	100.00%	
labelled/128.png	yes	100.00%	
labelled/9.png	no	100.00%	
labelled/8.png	no	100.00%	
labelled/78.png	other	100.00%	
labelled/23.png	other	100.00%	
labelled/192.png	yes	100.00%	
labelled/126.png	yes	100.00%	
labelled/4.png	no	100.00%	
labelled/90.png	other	100.00%	
labelled/127.png	yes	100.00%	
labelled/135.png	yes	100.00%	
labelled/16.png	no	100.00%	
labelled/129.png	yes	100.00%	
labelled/94.png	yes	100.00%	
labelled/11.png	no	100.00%	
labelled/7.png	no	100.00%	
labelled/85.png	yes	100.00%	
labelled/118.png	yes	100.00%	
labelled/0.png	no	100.00%	
labelled/32.png	other	100.00%	
labelled/2.png	no	100.00%	
labelled/196.png	yes	100.00%	
labelled/42.png	other	100.00%	
labelled/112.png	other	100.00%	
labelled/43.png	other	100.00%	
labelled/57.png	other	100.00%	
labelled/108.png	other	100.00%	
labelled/38.png	other	100.00%	
labelled/195.png	yes	100.00%	
labelled/20.png	yes	100.00%	
labelled/3.png	no	100.00%	
labelled/15.png	no	100.00%	
labelled/55.png	yes	100.00%	
labelled/6.png	no	100.00%	
labelled/10.png	no	100.00%	
labelled/54.png	other	100.00%	
labelled/5.png	no	100.00%	
unlabelled/4746.png	no	99.99%	
unlabelled/4001.png	no	99.99%	
unlabelled/6783.png	no	100.00%	
unlabelled/3917.png	yes	99.99%	
unlabelled/6128.png	no	100.00%	
unlabelled/3744.png	yes	100.00%	
unlabelled/6915.png	no	100.00%	
unlabelled/2689.png	yes	100.00%	
unlabelled/8254.png	no	100.00%	
unlabelled/2557.png	no	99.95%	
unlabelled/4038.png	no	99.99%	
unlabelled/7670.png	no	99.99%	
unlabelled/6745.png	other	99.99%	
unlabelled/8243.png	yes	100.00%	
unlabelled/7053.png	no	99.99%	
unlabelled/8334.png	no	100.00%	
unlabelled/2826.png	other	100.00%	
unlabelled/3074.png	other	99.99%	
unlabelled/6666.png	no	99.99%	
unlabelled/7895.png	no	100.00%	
unlabelled/3338.png	no	99.95%	
unlabelled/5088.png	yes	100.00%	
unlabelled/6465.png	no	99.99%	
unlabelled/6566.png	no	100.00%	
unlabelled/5895.png	other	99.99%	
unlabelled/7816.png	no	100.00%	
unlabelled/5866.png	other	100.00%	
unlabelled/5436.png	no	99.99%	
unlabelled/3778.png	no	100.00%	
unlabelled/5332.png	other	100.00%	
unlabelled/4548.png	no	100.00%	
unlabelled/7061.png	no	100.00%	
unlabelled/8222.png	no	100.00%	
unlabelled/7639.png	other	100.00%	
unlabelled/2372.png	no	99.99%	
unlabelled/6723.png	no	99.99%	
unlabelled/2180.png	no	99.99%	
unlabelled/6226.png	yes	99.99%	
unlabelled/5093.png	other	100.00%	
unlabelled/5687.png	no	99.99%	
unlabelled/6418.png	no	99.99%	
unlabelled/5469.png	no	99.99%	
unlabelled/3948.png	no	99.99%	
unlabelled/4059.png	no	99.99%	
unlabelled/2730.png	yes	100.00%	
unlabelled/5638.png	yes	100.00%	
unlabelled/5055.png	other	99.99%	
unlabelled/6123.png	no	100.00%	
unlabelled/4129.png	no	99.99%	
unlabelled/5835.png	no	99.99%	
unlabelled/3298.png	no	100.00%	
unlabelled/6090.png	no	100.00%	
unlabelled/4689.png	no	93.88%	
unlabelled/6873.png	no	100.00%	
unlabelled/5461.png	no	100.00%	
unlabelled/2471.png	no	99.99%	
unlabelled/5646.png	other	100.00%	
unlabelled/5666.png	yes	100.00%	
unlabelled/7973.png	no	100.00%	
unlabelled/7902.png	no	99.99%	
unlabelled/6930.png	other	100.00%	
unlabelled/5498.png	other	100.00%	
unlabelled/2608.png	yes	100.00%	
unlabelled/7230.png	no	99.99%	
unlabelled/7588.png	no	99.99%	
unlabelled/3543.png	yes	100.00%	
unlabelled/3030.png	no	99.99%	
unlabelled/7433.png	no	100.00%	
unlabelled/4727.png	yes	100.00%	
unlabelled/2868.png	no	99.98%	
unlabelled/2849.png	yes	99.99%	
unlabelled/3304.png	other	100.00%	
unlabelled/4281.png	no	99.99%	
unlabelled/5468.png	no	99.99%	
unlabelled/6683.png	no	99.99%	
unlabelled/3302.png	other	100.00%	
unlabelled/6654.png	no	100.00%	
unlabelled/5901.png	no	99.99%	
unlabelled/2050.png	yes	100.00%	
unlabelled/3098.png	yes	100.00%	
unlabelled/8067.png	no	99.99%	
unlabelled/3234.png	yes	100.00%	
unlabelled/4099.png	no	99.99%	
unlabelled/5976.png	other	99.99%	
unlabelled/3322.png	no	100.00%	
unlabelled/5061.png	no	99.99%	
unlabelled/2036.png	no	99.99%	
unlabelled/7846.png	no	99.99%	
unlabelled/6942.png	no	99.99%	
unlabelled/7268.png	no	99.99%	
unlabelled/4935.png	no	99.99%	
unlabelled/5540.png	no	99.99%	
unlabelled/4222.png	no	99.99%	
unlabelled/3722.png	no	99.99%	
unlabelled/7627.png	no	99.99%	
unlabelled/6670.png	other	100.00%	
unlabelled/7528.png	no	99.99%	
unlabelled/2503.png	yes	98.74%	
unlabelled/6786.png	no	96.54%	
unlabelled/6599.png	no	99.99%	
unlabelled/8143.png	other	99.99%	
unlabelled/5208.png	no	99.99%	
unlabelled/8049.png	no	99.99%	
unlabelled/6288.png	no	100.00%	
unlabelled/2338.png	no	99.99%	
unlabelled/3907.png	no	99.99%	
unlabelled/6156.png	yes	100.00%	
unlabelled/7087.png	yes	99.99%	
unlabelled/4885.png	no	99.95%	
unlabelled/4039.png	no	99.99%	
unlabelled/5847.png	yes	100.00%	
unlabelled/5188.png	no	99.99%	
unlabelled/7533.png	no	100.00%	
unlabelled/3203.png	yes	99.99%	
unlabelled/6824.png	no	99.99%	
unlabelled/7222.png	no	99.99%	
unlabelled/6545.png	no	99.99%	
unlabelled/7943.png	no	99.99%	
unlabelled/3287.png	no	99.99%	
unlabelled/8424.png	no	99.99%	
unlabelled/7629.png	no	100.00%	
unlabelled/3167.png	no	99.99%	
unlabelled/2676.png	other	100.00%	
unlabelled/4961.png	no	100.00%	
unlabelled/4995.png	no	99.99%	
unlabelled/4295.png	no	99.99%	
unlabelled/2871.png	no	99.99%	
unlabelled/4044.png	no	99.99%	
unlabelled/3458.png	no	99.99%	
unlabelled/2694.png	no	99.99%	
unlabelled/7119.png	no	100.00%	
unlabelled/2882.png	yes	100.00%	
unlabelled/2951.png	no	99.91%	
unlabelled/7309.png	other	99.99%	
unlabelled/6918.png	no	100.00%	
unlabelled/7108.png	no	99.99%	
unlabelled/3183.png	no	99.99%	
unlabelled/5601.png	yes	100.00%	
unlabelled/6177.png	no	100.00%	
unlabelled/4241.png	no	100.00%	
unlabelled/8440.png	no	99.99%	
unlabelled/8137.png	no	100.00%	
unlabelled/4487.png	no	99.99%	
unlabelled/3558.png	no	99.99%	
unlabelled/6755.png	no	99.99%	
unlabelled/5397.png	no	99.99%	
unlabelled/3228.png	no	99.99%	
unlabelled/2091.png	no	99.99%	
unlabelled/8173.png	no	99.99%	
unlabelled/6601.png	no	99.99%	
unlabelled/4174.png	no	99.99%	
unlabelled/5086.png	no	99.80%	
unlabelled/4851.png	yes	99.99%	
unlabelled/3812.png	no	99.99%	
unlabelled/2657.png	yes	99.99%	
unlabelled/5273.png	no	96.47%	
unlabelled/4932.png	no	100.00%	
unlabelled/4294.png	no	99.99%	
unlabelled/2944.png	other	100.00%	
unlabelled/6228.png	no	99.99%	
unlabelled/7252.png	no	99.99%	
unlabelled/7101.png	no	99.99%	
unlabelled/2734.png	no	91.50%	
unlabelled/2127.png	no	99.99%	
unlabelled/6769.png	no	99.99%	
unlabelled/6306.png	no	99.99%	
unlabelled/8115.png	no	99.99%	
unlabelled/8286.png	no	99.99%	
unlabelled/3540.png	no	99.99%	
unlabelled/4204.png	no	99.99%	
unlabelled/8031.png	no	99.78%	
unlabelled/6433.png	no	99.98%	
unlabelled/5131.png	yes	100.00%	
unlabelled/6787.png	no	99.99%	
unlabelled/6721.png	no	100.00%	
unlabelled/7766.png	no	99.99%	
unlabelled/6217.png	no	100.00%	
unlabelled/6405.png	no	100.00%	
unlabelled/3544.png	no	100.00%	
unlabelled/7497.png	no	99.83%	
unlabelled/8076.png	other	99.99%	
unlabelled/4979.png	no	99.99%	
unlabelled/6176.png	no	99.96%	
unlabelled/6247.png	no	99.99%	
unlabelled/5301.png	no	99.99%	
unlabelled/7652.png	no	99.96%	
unlabelled/2055.png	no	100.00%	
unlabelled/2997.png	no	99.99%	
unlabelled/2769.png	no	99.99%	
unlabelled/5448.png	no	99.99%	
unlabelled/2241.png	no	99.99%	
unlabelled/2410.png	no	99.97%	
unlabelled/3856.png	no	100.00%	
unlabelled/4469.png	no	99.98%	
unlabelled/5692.png	no	99.99%	
unlabelled/3737.png	no	100.00%	
unlabelled/3798.png	no	99.99%	
unlabelled/7271.png	other	99.99%	
unlabelled/4451.png	no	99.99%	
